Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM,IBC
53,C_19_M_9,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testUnion,0,New,12,181,0.027624309,7.40E-04,12853,0.182320442,0,0.027624309
53,C_19_M_10,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testIntersection,0,New,12,183,0.027322404,7.34E-04,12993,0.180327869,0,0.027322404
53,C_19_M_11,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testXor,0,New,12,187,0.026737968,7.21E-04,13277,0.181818182,0,0.026737968
53,C_19_M_12,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testDifference,0,New,12,187,0.026737968,7.21E-04,13277,0.181818182,0,0.026737968
53,C_19_M_13,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testEmptyDifference,0,New,6,111,0.009009009,2.62E-04,7953,0.198198198,0,0.009009009
53,C_19_M_14,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testChoppedHexagon,0,New,19,116,0.017241379,6.17E-04,8303,0.224137931,0,0.017241379
53,C_19_M_15,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testConcentric,0,New,7,115,0.017391304,6.21E-04,8233,0.191304348,0,0.017391304
53,C_19_M_16,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20040520,0,New,22,169,0.029585799,7.82E-04,12013,0.165680473,0,0.029585799
53,C_19_M_17,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20041003,0,New,8,154,0.025974026,7.03E-04,10963,0.181818182,0,0.025974026
53,C_20_M_1,org.apache.commons.math.geometry.partitioning.utilities.AVLTreeTest::testInsert,0,New,8,19,0,0,2534,0.052631579,0,0
53,C_20_M_2,org.apache.commons.math.geometry.partitioning.utilities.AVLTreeTest::testDelete1,0,New,10,20,0,0,2560,0.05,0,0
53,C_20_M_3,org.apache.commons.math.geometry.partitioning.utilities.AVLTreeTest::testNavigation,0,New,18,17,0,0,2486,0,0,0
53,C_20_M_4,org.apache.commons.math.geometry.partitioning.utilities.AVLTreeTest::testSearch,0,New,10,16,0,0,2465,0,0,0
53,C_20_M_5,org.apache.commons.math.geometry.partitioning.utilities.AVLTreeTest::testRepetition,0,New,32,20,0,0,2560,0.05,0,0
53,C_21_M_1,org.apache.commons.math.linear.ArrayFieldVectorTest::testConstructors,0,Modified,52,33,0.090909091,0.001842308,2999,0,0,0.090909091
53,C_21_M_2,org.apache.commons.math.linear.ArrayFieldVectorTest::testOuterProduct,0,New,11,22,0.409090909,0.003435651,2615,0,0,0.409090909
53,C_22_M_1,org.apache.commons.math.linear.SparseRealMatrixTest::testSetSubMatrix,0,Modified,50,34,0.323529412,0.003254469,3041,0.029411765,0,0.323529412
53,C_23_M_1,org.apache.commons.math.linear.SparseRealVectorTest::testOuterProduct,0,New,11,38,0.447368421,0.005774671,3224,0,0,0.447368421
53,C_24_M_1,org.apache.commons.math.linear.SparseFieldMatrixTest::testMultiply,0,Modified,16,55,0.181818182,0.002180409,4159,0,0,0.181818182
53,C_25_M_1,org.apache.commons.math.linear.AbstractRealVectorTest::testClone,0,Modified,11,4,0.75,0.004558087,2317,0,0,0.75
53,C_26_M_1,org.apache.commons.math.linear.SparseFieldVectorTest::testOuterProduct,0,New,11,41,0.097560976,0.001835385,3378,0,0,0.097560976
53,C_27_M_1,org.apache.commons.math.linear.BlockRealMatrixTest::testSetSubMatrix,0,Modified,45,24,0.541666667,0.005763272,2675,0.041666667,0,0.541666667
53,C_28_M_1,org.apache.commons.math.linear.MatrixUtilsTest::testcreateFieldMatrix,0,Modified,18,31,0.290322581,0.002163095,2918,0,0,0.290322581
53,C_29_M_1,org.apache.commons.math.linear.BlockFieldMatrixTest::testSetSubMatrix,0,Modified,45,34,0.205882353,0.002443706,3041,0,0,0.205882353
53,C_30_M_1,org.apache.commons.math.linear.Array2DRowRealMatrixTest::testSetSubMatrix,0,Modified,52,24,0.458333333,0.01144903,2675,0.125,0,0.458333333
53,C_31_M_1,org.apache.commons.math.linear.ArrayRealVectorTest::testOuterProduct,0,New,11,13,0.692307692,0.009732016,2404,0.153846154,0,0.692307692
